ID,Month,Means (mm),Length (cm),Weight (g) ,CF
01,April,145.15,13.0,25.7,1.17
02,April,168.45,15.0,35.6,1.05
03,April,152.85,13.0,23.2,1.06
05,April,157.83,14.0,28.3,1.03
07,April,132.44,13.0,20.4,0.93
08,April,132.12,12.8,19.6,0.93
09,April,143.02,13.5,27.2,1.11
10,April,120.08,13.2,23.5,1.02
11,April,142.96,12.8,22.7,1.08
12,April,156.17,14.2,32.8,1.15
13,April,162.43,13.7,28.3,1.10
14,April,148.42,13.8,27.0,1.03
15,April,167.81,14.5,33.3,1.09
17,April,156.06,14.2,34.1,1.19
18,April,166.95,14.1,28.9,1.03
19,April,156.59,13.0,25.4,1.16
02,June,176.84,15.6,41.0,1.08
03,June,176.08,16.2,43.0,1.01
04,June,162.43,14.6,32.1,1.03
06,June,164.34,14.3,32.3,1.10
07,June,163.17,13.6,33.0,1.31
09,June,142.20,14.5,32.6,1.07
10,June,149.33,14.4,31.3,1.05
11,June,146.38,13.2,25.8,1.12
12,June,151.12,13.6,28.1,1.12
13,June,169.82,13.9,40.7,1.52
14,June,154.50,13.7,27.4,1.07
15,June,161.40,13.2,25.0,1.09
16,June,158.91,13.8,28.0,1.07
17,June,156.60,13.5,35.9,1.46
18,June,177.37,15.1,36.9,1.07
19,June,166.58,15.2,37.4,1.06
20,June,156.00,13.0,26.5,1.21
01,August,173.94,16.3,49.0,1.13
02,August,170.53,15.7,44.2,1.14
03,August,165.83,16.4,45.1,1.02
04,August,152.40,15.3,37.7,1.05
05,August,161.91,14.5,35.7,1.17
07,August,176.20,14.3,32.4,1.11
08,August,155.14,13.5,35.8,1.46
09,August,183.58,15.6,39.5,1.04
10,August,170.93,15.2,41.9,1.19
11,August,155.32,14.3,30.7,1.05
12,August,174.77,14.3,30.6,1.05
13,August,171.26,15.6,42.6,1.12
14,August,162.48,14.0,29.3,1.07
15,August,155.35,13.9,28.2,1.05
16,August,155.44,16.9,55.7,1.15
18,August,179.53,15.1,38.2,1.11
19,August,156.07,12.8,26.3,1.25
20,August,161.30,15.9,43.9,1.09
