Date,Month,ID,Stage ,measurement 1 (um),measurement 2 (um),measurement 3 (um),measurement 4 (um),measurement 5 (um),mean,std,Volume
4/29/20,April,1,LPN,0.29,0.252,0.264,0.26,0.282,0.27,0.014,0.010305995
4/29/20,April,1,LPN,0.273,0.223,0.228,0.262,0.242,0.246,0.019,0.007794781
4/29/20,April,1,LPN,0.287,0.24,0.276,0.302,0.278,0.277,0.02,0.011128533
4/29/20,April,1,LPN,0.257,0.203,0.261,0.221,0.236,0.236,0.022,0.006882316
4/29/20,April,1,LPN,0.263,0.203,0.255,0.226,0.277,0.245,0.027,0.007700109
4/29/20,April,2,LPN,0.247,0.293,0.266,0.26,0.268,0.267,0.015,0.009966264
4/29/20,April,2,LPN,0.21,0.231,0.261,0.212,0.225,0.228,0.018,0.006205877
4/29/20,April,2,LPN,0.271,0.263,0.256,0.293,0.274,0.271,0.012,0.01042093
4/29/20,April,2,LPN,0.299,0.233,0.274,0.26,0.251,0.263,0.022,0.009525019
4/29/20,April,2,LPN,0.253,0.257,0.253,0.255,0.255,0.255,0.001,0.008681988
4/29/20,April,3,EPN,0.301,0.234,0.255,0.25,0.298,0.268,0.027,0.010078665
4/29/20,April,3,EPN,0.283,0.227,0.253,0.245,0.268,0.255,0.019,0.008681988
4/29/20,April,3,EPN,0.274,0.243,0.267,0.258,0.277,0.264,0.012,0.009634083
4/29/20,April,3,EPN,0.26,0.22,0.243,0.251,0.272,0.249,0.017,0.008083448
4/29/20,April,3,EPN,0.23,0.233,0.247,0.24,0.249,0.24,0.007,0.007238229
4/29/20,April,5,LPN ,0.321,0.24,0.307,0.279,0.267,0.283,0.029,0.011867464
4/29/20,April,5,LPN ,0.32,0.321,0.285,0.214,0.284,0.285,0.039,0.012120854
4/29/20,April,5,LPN ,0.275,0.218,0.268,0.255,0.261,0.255,0.02,0.008681988
4/29/20,April,5,LPN ,0.308,0.307,0.312,0.275,0.257,0.292,0.022,0.013036085
4/29/20,April,5,LPN ,0.309,0.206,0.311,0.264,0.238,0.266,0.041,0.009854703
4/29/20,April,7,EPN,0.266,0.19,0.248,0.223,0.227,0.231,0.026,0.006454083
4/29/20,April,7,EPN,0.234,0.23,0.212,0.239,0.238,0.231,0.01,0.006454083
4/29/20,April,7,EPN,0.247,0.207,0.246,0.245,0.246,0.238,0.016,0.007058778
4/29/20,April,7,EPN,0.25,0.173,0.242,0.242,0.185,0.218,0.033,0.005424605
4/29/20,April,7,EPN,0.254,0.187,0.239,0.252,0.188,0.224,0.03,0.005884949
4/29/20,April,8,EPN,0.243,0.214,0.233,0.24,0.237,0.233,0.01,0.006623177
4/29/20,April,8,EPN,0.24,0.243,0.241,0.222,0.22,0.233,0.01,0.006623177
4/29/20,April,8,EPN,0.257,0.238,0.247,0.252,0.234,0.246,0.009,0.007794781
4/29/20,April,8,EPN,0.26,0.264,0.228,0.212,0.237,0.24,0.02,0.007238229
4/29/20,April,8,EPN,0.256,0.236,0.234,0.239,0.226,0.238,0.01,0.007058778
4/29/20,April,9,EPN,0.254,0.203,0.216,0.21,0.256,0.228,0.023,0.006205877
4/29/20,April,9,EPN,0.26,0.227,0.244,0.227,0.254,0.242,0.014,0.007420697
4/29/20,April,9,EPN,0.3,0.227,0.252,0.233,0.259,0.254,0.026,0.008580247
4/29/20,April,9,EPN,0.3,0.26,0.255,0.262,0.291,0.274,0.018,0.010770858
4/29/20,April,9,EPN,0.304,0.237,0.252,0.266,0.309,0.274,0.028,0.010770858
4/29/20,April,10,EPN,0.247,0.239,0.211,0.203,0.233,0.227,0.017,0.006124578
4/29/20,April,10,EPN,0.249,0.197,0.266,0.259,0.167,0.228,0.039,0.006205877
4/29/20,April,10,EPN,0.217,0.21,0.207,0.204,0.22,0.212,0.006,0.004988916
4/29/20,April,10,EPN,0.213,0.215,0.229,0.201,0.216,0.215,0.009,0.005203721
4/29/20,April,10,EPN,0.207,0.216,0.255,0.235,0.175,0.218,0.027,0.005424605
4/29/20,April,11,EPN,0.254,0.211,0.265,0.244,0.212,0.237,0.022,0.006970175
4/29/20,April,11,EPN,0.248,0.194,0.239,0.233,0.209,0.225,0.02,0.005964117
4/29/20,April,11,EPN,0.297,0.213,0.26,0.207,0.268,0.249,0.034,0.008083448
4/29/20,April,11,EPN,0.278,0.213,0.229,0.265,0.243,0.246,0.024,0.007794781
4/29/20,April,11,EPN,0.299,0.188,0.25,0.275,0.23,0.248,0.038,0.007986448
4/29/20,April,12,LPN,0.302,0.258,0.275,0.285,0.271,0.278,0.015,0.011249495
4/29/20,April,12,LPN,0.238,0.226,0.23,0.227,0.236,0.231,0.005,0.006454083
4/29/20,April,12,LPN,0.288,0.282,0.281,0.279,0.291,0.284,0.005,0.011993713
4/29/20,April,12,LPN,0.275,0.248,0.262,0.262,0.247,0.259,0.01,0.009096994
4/29/20,April,12,LPN,0.309,0.252,0.263,0.244,0.276,0.269,0.023,0.010191907
4/29/20,April,13,LPN,0.324,0.317,0.34,0.318,0.346,0.329,0.012,0.018646027
