"","salmonovary_02","salmonovary_03","salmonovary_07","salmonovary_09","salmonovary_10","salmonovary_11","salmonovary_12","salmonovary_13","salmonovary_14","salmonovary_15","salmonovary_16","salmonovary_17","salmonovary_18","salmonovary_19","salmonovary_20","salmonovary_21","salmonovary_22","salmonovary_23","salmonovary_24","salmonovary_26","salmonovary_27","salmonovary_28"
"ADV40928.1",-9.45565426788192,-9.79406873138639,-9.78814923150093,-10.1346801229034,-9.45665067920492,-9.79107529352012,-9.52425483315019,-9.28198605472242,-9.74191244135162,-10.0076414053492,-10.0869792078036,-9.63556422956632,-10.2386841102302,-9.81592959721196,-9.61462690499338,-9.68054231113238,-9.50701400786017,-10.3374853178208,-9.6603244787834,-9.30082776551556,-9.99480866260114,-9.48168862142236
"XP_020307575.1",-13.5682758295082,-13.1423561684676,-13.8331088422166,-14.0024178014065,-12.186221549765,-13.0840996058351,-15.2283094764198,-12.1358523128752,-12.6221897260423,-12.325253298814,-12.5193880803595,-11.6489386301829,-12.1440281849357,-12.9626757961106,-14.0121739623182,-14.2985612116754,-11.4691535531857,-13.4458103903638,-12.2496421778979,-12.1575149211018,-13.2858450666943,-11.9472521313816
"XP_020307578.1",-6.87639206464325,-7.07494442219691,-7.04191097784403,-7.40492714128542,-7.0860021163154,-7.13673022649627,-7.20211330872022,-7.18543881888082,-7.13609745086849,-7.17877898083207,-7.06980482884694,-7.2979109171476,-7.00595087181257,-6.93634038781111,-7.29414649947672,-7.1078026906,-7.30600551418803,-7.25136669322418,-7.03060196995583,-7.49096874960584,-6.85830317386094,-7.38490135621002
"XP_020307579.1",-8.25101303427602,-7.5151969806694,-9.13140774327045,-8.0642982854368,-7.20897518988737,-6.7435659844291,-7.95450117978412,-7.74625811124238,-7.49622326954048,-7.40771797258341,-7.21416872034227,-7.42189389832568,-8.14326031279005,-7.53544706040503,-6.87016531373005,-8.16157875518148,-6.21305571125474,-8.16079760770024,-6.76191198963308,-7.09983040567061,-6.81899764325423,-7.6091640599028
"XP_020307599.2",-11.5823911496191,-10.9855671430181,-11.0093905548578,-11.4976473272703,-10.8639112259943,-10.6434496943368,-11.0542163819874,-10.7609132187088,-11.8008248156234,-11.1200559871829,-10.8650696995085,-10.9908865064504,-11.694546087506,-10.8108885773114,-10.8038258180122,-11.3703124199748,-10.4635060325474,-11.2308829629452,-10.9042979154601,-10.9728572716313,-10.7828879319935,-10.985285949909
"XP_020307605.1",-10.6237811950829,-10.4446445448068,-9.2795212113935,-10.7512331923613,-9.35879164349951,-9.04300691875951,-9.30700721298085,-9.45067805088122,-10.8192007210579,-8.96370690487513,-9.06667658612607,-9.14686605899003,-10.3087968980046,-9.396477849166,-9.28660283915716,-9.26080833953682,-9.25863490435103,-9.69621202513135,-9.07439660183958,-9.71524020565513,-9.19066648025696,-9.19490528668352
"XP_020307618.1",-12.5436969956375,-11.7801705409381,-12.8879774182114,-12.5879827548822,-11.8152221910737,-11.5505002807848,-11.9005592245994,-11.9047191759763,-11.5238517428598,-11.9863229327541,-11.3383669697567,-12.0497953697081,-12.0290391977133,-12.5507540619834,-11.5028707255906,-12.6966317015215,-11.5039499013737,-12.6406576062758,-12.0544059670698,-11.5709385536426,-11.8373159618161,-11.060780817256
"XP_020307623.1",-8.72428469546255,-8.74518401455614,-8.97701759911068,-9.01884080347727,-8.62055312427052,-8.76124942916271,-8.55800988958318,-8.58389665023368,-8.64348867918354,-8.64972332231503,-8.59915907947363,-8.71403875419239,-8.79826751518753,-8.71645371612577,-8.5039842146464,-8.67599075819919,-8.70419748892003,-9.01903629218667,-8.48903151915973,-8.68331978110259,-8.61007089631707,-9.03696582941739
"XP_020307627.1",-10.528439097712,-9.97730381590695,-10.726065478984,-11.2490235808673,-10.4534871393474,-10.4056432579689,-10.5010927088773,-9.76825787072828,-10.7566175617585,-10.4285347936986,-10.0163162863676,-10.0179669349817,-10.4929676371049,-10.861281534502,-10.0083484534131,-10.3193116156058,-9.79731981333645,-11.008909324213,-10.0601096577897,-10.1387832863926,-9.7825014450072,-9.85632086545902
"XP_020307636.1",-17.819911104675,-14.1285515902568,-16.670336561183,-18.4408210087871,-16.7165042921795,-16.8333310140271,-16.7848627251633,-16.2522139633082,-18.6418175490232,-17.0777834765294,-16.2680716334381,-19.2125833787436,-17.0521587179102,-17.8587186510522,-17.1669456834921,-18.324565510414,-16.5759032372728,-16.8702018776812,-16.6010217152666,-16.9507376865866,-16.7325003875212,-15.1237231547555
